編號,發布日期,職缺名稱,工作內容摘要,公司名稱,產業描述,最低薪資,最高薪資,學歷要求代碼清單,具體的軟硬體技能要求,目前應徵人數,工作連結
34,20260202,(Jr.) Software Development Engineer in Test (SDET),"issues in applications through testing activities.
- Familiarity with Python; experience with JavaScript/TypeScript is a plus.
-",GoFreight Technologies Ltd_映瀚科技股份有限公司,其它軟體及網路相關業,700000,1000000,大學,"[{'code': '12001003045', 'description': 'Python'}]",6,https://www.104.com.tw/job/8y1mq
35,20260308,軟體應用工程師,"位 ，並提供產品技術諮詢
‧熟悉 JAVA & Python 編程語言， 有大型項目架構經驗優先
‧營運系統使用相關文件撰寫及維護",萊斯科技有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006013', 'description': 'HTML'}]",9,https://www.104.com.tw/job/5usrs
36,20260310,Azure 雲端維運工程師 Azure Cloud Operations & Maintenance Engineer,"置經驗（GitHub Actions 或 Azure DevOps Pipelines）
- 熟悉監控和日誌分析工具（Azure Monitor、Log Analytics、Microsoft Sentinel）
- 具備 Python 或",未來巢科技股份有限公司,電腦軟體服務業,600000,1200000,大學以上,"[{'code': '12001001020', 'description': 'Shell'}, {'code': '12001001007', 'description': 'Linux'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001007075', 'description': 'VPN'}, {'code': '12003002021', 'description': 'RTSP'}]",3,https://www.104.com.tw/job/8yurr
37,20260310,Digital Twin Engineer,"1. 電腦科學(CS)碩士學位
2. 具備 Python Programming 能力
3. 擅長設計數位孿生之解決方案架構
4. 擅長物件導向程式設計
5. 物理定律的知識
6. 擅長使用 Omniverse、Action Graph 與",宇見智能科技股份有限公司,電腦軟體服務業,800000,1500000,碩士以上,"[{'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8er93
40,20260309,P10-Python應用工程師,"我們是國內領先的雲端智能數據分析公司，專注於AI 及數據應用技術，誠摯邀請對智能數據 (Data Intelligence) 充滿熱情的你，一同開拓未來！

我們正在尋找具備實務經驗與獨立問題解決能力的 Python 工程師加入團隊。

我們理解",意藍資訊股份有限公司,網際網路相關業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",29,https://www.104.com.tw/job/8osoz
42,20260310,Platform Engineer_RSBU SWRD,"Monitoring and alerting 
10.AI workflow design & MCP 
11.AI server management 

Programming Language: Java, C#, Python, Go,",神基科技股份有限公司,電腦及其週邊設備製造業,40000,55000,大學以上,"[{'code': '12001003009', 'description': 'C#'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003080', 'description': 'Go'}]",5,https://www.104.com.tw/job/8o10x
43,20260310,爬蟲工程師Data Crawling Engineer (全遠端),"負責建置並長期維運自動化爬蟲系統(python為主)

需有經驗或能自研反爬技巧：
  爬蟲節奏控制
  retry/backoff機制
  User-Agent rotation
  Cookie/session handling",宓弘亞商務管理顧問有限公司,網際網路相關業,50000,60000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",0,https://www.104.com.tw/job/8z5xs
44,20260310,Full Stack Engineer,"efficiency.
Responsibilities:
•Full Stack Development: Design and develop web applications with Python, FastAPI, and GraphQL on the",LILEE SYSTEMS_理立系統股份有限公司,電腦系統整合服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8y9a7
45,20260210,韌體自動化測試工程師,"工作內容：
1. 透過Python或C語言開發自動化測試程式/腳本
2. 配合韌體開發模型 V-Model，於不同開發階段(Unit, Integration, System, Acceptance Test) 之測試需求轉化為自動化腳本
3.",佳能企業股份有限公司,消費性電子產品製造業,40000,55000,大學以上,"[{'code': '12001003008', 'description': 'C'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",6,https://www.104.com.tw/job/8dxlw
46,20260309,AI/機器學習平台技術服務工程師｜ AI/ML TechSupport Engineer,"作（業務 / RD）


加分項目
- 具備 Python 基礎或程式閱讀能力
- 有使用 Docker 或 Postman 經驗
- 曾參與 AI / 數據分析課程或專案
- 有客服或技術支援經驗",杰倫智能科技股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",7,https://www.104.com.tw/job/8w93o
47,20260305,資料科學/深度學習工程師  Data Scientist / Deep Learning Engineer,"資料來優化機器人的工作，包含但不限於路徑規劃，定位技術，異常檢測等等。
3. 研究並導入最前沿的電腦視覺技術
4. 優化並佈署模型於局端裝置

工作專業:
1. 熟悉Python 與機器學習或資料分析工具套件
2. 有資料分析，機器學習專案實作經驗",優式機器人股份有限公司,消費性電子產品製造業,40000,55000,碩士以上,"[{'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",14,https://www.104.com.tw/job/86auy
49,20260308,軟體應用工程師助理,"統產品檢測故障排除，回覆客戶應用技術的問題、回饋給相關單位 ，並提供產品技術諮詢
‧熟悉 JAVA & Python 編程語言， 有大型項目架構經驗優先
‧營運系統使用相關文件撰寫及維護",萊斯科技有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001006013', 'description': 'HTML'}]",7,https://www.104.com.tw/job/8igoy
50,20260226,中華經濟研究院第一研究所誠徵專任計畫助理與計畫輔佐研究員1～2名（國內外經濟、財金、統計、數學等相關學系研究所畢業）,"能源、電力、減碳相關議題研究經驗者尤佳。
3、具基礎程式語言撰寫能力（R或Python），或具資料科學分析經驗尤佳。
3、具全民英檢中級（含）以上英文能力，並檢附英文能力證明文件。
4、熟悉文書作業軟體（Excel、Word及PowerPoint）",財團法人中華經濟研究院,其他教育服務業,38200,43900,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001008003', 'description': 'Excel'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}]",5,https://www.104.com.tw/job/8jf4u
52,20260306,I105 Python Web工程師(可遠端工作),"給自己也給我們一個機會，加入我們一同持續精進IT專業技術，改寫自己的人生與改寫世界，讓我們一起變得更好，歡迎登艦！

【工作內容】
1. Python Web Application開發(Flask + jQuery單體架構 或 FastAPI +",台灣大哥大股份有限公司,電信相關業,40000,55000,學歷不均,"[{'code': '12001003045', 'description': 'Python'}]",33,https://www.104.com.tw/job/8i0ux
53,20260309,資深AI/機器學習研發工程師｜Senior AI/ML Engineer,"python程式語言、熟悉linux作業系統
2. 熟悉pandas、numpy、statsmodels、scikit-learn、pytorch、matplotlib、plotly等套件
3. 熟悉表格數據的建模與處理
4. 熟悉機器學習模型的分析與",杰倫智能科技股份有限公司,電腦軟體服務業,40000,55000,專科以上,"[{'code': '12001003045', 'description': 'Python'}]",2,https://www.104.com.tw/job/8o0kf
54,20260309,資料工程師/後端工程師,"1. 開發和優化數據處理流程: 使用 Python 和 Apache Spark 進行數據清洗、轉換和建模，提升處理大規模數據集的效率。
2. 設計和維護與優化data pipelines。
3. 管理和維護 MongoDB 和 Data",銓鍇國際股份有限公司,網際網路相關業,40000,55000,專科以上,"[{'code': '12001003082', 'description': 'Scala'}, {'code': '12003004004', 'description': 'Hive'}, {'code': '12001011001', 'description': 'Tableau'}, {'code': '12001006043', 'description': 'Django'}, {'code': '12001006034', 'description': 'Node.js'}, {'code': '12001005023', 'description': 'AWS'}, {'code': '12001004041', 'description': 'RDBMS'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004032', 'description': 'MySQL'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001002017', 'description': 'Jenkins'}, {'code': '12001002016', 'description': 'Github'}]",6,https://www.104.com.tw/job/8e74p
58,20260309,Robot Simulation Engineer,"隨著AI技術的快速進步，我們正在尋找具有創新思維、技術專長和熱情的專業人才加入我們的團隊。無論您是資深專家還是剛踏入職場的年輕才俊，都將在這裡擁有無限的發展機會，共同推動未來科技的前沿。

1. 熟悉 Python
2.熟悉LLM模型如",富智康國際股份有限公司,消費性電子產品製造業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001003097', 'description': 'LLM'}]",5,https://www.104.com.tw/job/8khew
59,20260306,技術應用工程師,"案相關技術文件與報告。
5. 熟悉基本電子電路、訊號處理或自動控制。
6. 具備基礎編程能力（Python、C++、Java、Matlab）。
7. 具備良好的邏輯表達能力，能將複雜的技術術語轉化為淺顯易懂的語言。
8. 依據客戶需求，進行既有產品",集研科技股份有限公司,其他電子零組件相關業,40000,9999999,大學以上,"[{'code': '12002003001', 'description': 'AutoCAD'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003010', 'description': 'C++'}, {'code': '12001003034', 'description': 'Matlab'}, {'code': '12001003025', 'description': 'Java'}]",6,https://www.104.com.tw/job/77c57
61,20260311,人形機器人 AI 實習生 / 技術助理 (Robotics AI Intern / Assistant),"必要條件】
1. AI 工具應用能力： 熟練使用生成式 AI 工具（如 ChatGPT、Claude 等）來輔助編寫程1式、整理資料或提升工作效率。
2. 程式基礎： 具備基礎 Python 程式能力（能閱讀程式碼、撰寫簡單的自動化 Script）",圖策科技股份有限公司,其它軟體及網路相關業,200,400,大學以上,"[{'code': '12001003099', 'description': 'Prompt'}, {'code': '12001003045', 'description': 'Python'}]",0,https://www.104.com.tw/job/8z7cm
62,20260223,軟體工程師,"有統計分析的基礎，能依據需求產出基本的模型或分析結果

【必備條件】:
1. 具有 Python、Django專案開發經驗
2. 熟悉 RWD 進行優化及調整",台普威能源股份有限公司,電力供應業,40000,55000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001006043', 'description': 'Django'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001002018', 'description': 'Git'}]",10,https://www.104.com.tw/job/8tn3e
67,20260305,Senior Product Engineer – Silicon Validation,"and yield enhancement techniques.
Scripting and automation skills using Python, Perl, or TCL for test data analysis and",美商安科亞多有限公司台灣分公司,IC設計相關業,40000,55000,大學以上,"[{'code': '12001003057', 'description': 'TCL'}, {'code': '12001003040', 'description': 'Perl'}, {'code': '12001003045', 'description': 'Python'}]",4,https://www.104.com.tw/job/8z01r
68,20260309,[台北/高雄] 後端工程師 Backend Engineer (Python/Django),"use

▋What Skill/Experience You Must Have:
▸ Proficient in Python and Experience Python web frameworks (We use Django &","Linker Vision Co., Ltd._鑫蘊林科股份有限公司",電腦軟體服務業,50000,80000,大學以上,"[{'code': '12001001007', 'description': 'Linux'}, {'code': '12001002018', 'description': 'Git'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004039', 'description': 'PostgreSQL'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001006043', 'description': 'Django'}]",24,https://www.104.com.tw/job/7izdv
69,20251120,AD31974 軟體開發工程師,"1.開發與維護AI應用軟體專案，使用 ASP.Net(C#) 或Python開發AI Web 應用程式。
2.研發、導入AI新技術
3.依照User需求，進行系統開發或日常維運",華碩電腦股份有限公司,電腦及其週邊設備製造業,35000,9999999,大學以上,"[{'code': '12001003006', 'description': 'ASP.NET'}, {'code': '12001003009', 'description': 'C#'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001004038', 'description': 'PL/SQL'}]",9,https://www.104.com.tw/job/8vxe2
70,20260128,資料分析工程師(內湖-銀行業),"需求說明：
•報表程式撰寫需有1 年以上相關工作經驗，具PySpark 及SQL 經驗者佳。
•進行程式語言線上測驗

工作項目如下：
•負責運用Python 程式或相關程式撰寫報表
•資料驗證
•Tableau 報表呈現設計及執行
•其他主管交",康翔科技股份有限公司,其它軟體及網路相關業,35000,40000,專科以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001011001', 'description': 'Tableau'}]",0,https://www.104.com.tw/job/8ft9t
74,20260215,大型知識探索工程師（LLM Discovery Engineer）,"識平台系統，爭取最高速率獲取完整正確資料與自動驗證大型知識平台數據正確性。
4. 研究新技術與新工具

【Essential Qualifications】
1. 熟悉爬蟲相關基礎技術，python與其相關套件與框架，如requests, lxml",Taiwan AI Labs_雅婷智慧股份有限公司,其它軟體及網路相關業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",3,https://www.104.com.tw/job/7tkwm
76,20260309,Revenue Operations – Senior Collection & Compliance Specialist (Cantonese  Required),"training


Operations & System Optimization

Utilize Python, Excel (advanced functions & pivot tables), and Google Apps Script (",inline_樂排股份有限公司,其它軟體及網路相關業,40000,55000,大學以上,"[{'code': '12001008003', 'description': 'Excel'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001008012', 'description': 'PowerPoint'}]",0,https://www.104.com.tw/job/8svr0
77,20260302,【威脅分析中心】系統工程師,"等基礎概念）
2. 具備基本硬體維修與故障排除能力（PC、筆電、印表機等）
3. 能處理公司員工 IT 相關需求與問題（Helpdesk）
4. 具獨立解決技術問題能力
5. 具相關系統開發工作經驗尤佳
6. 熟悉C#, Java, Python尤",國家資通安全研究院,其他專業／科學及技術業,40000,55000,大學以上,"[{'code': '12001003009', 'description': 'C#'}, {'code': '12001003025', 'description': 'Java'}, {'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8502n
78,20260224,Coding AI Workflow Integration Analyst,"python sql, c++ and working experience in using gemini3 and Claude to integrate work flow.

English and financial experience",MMA PAN ASIA FUND_美商恩暐有限公司,其他金融及輔助業,50000,50000,專科以上,"[{'code': '12001003010', 'description': 'C++'}, {'code': '12001003045', 'description': 'Python'}]",5,https://www.104.com.tw/job/8ya50
79,20260302,Site Reliability Engineer,"動化工程有高度興趣，願意學習相關技術。
3.具有基本 Linux 操作能力（如檔案管理、服務啟停、基本 script）。
4.具備至少一種 script 語言基礎（Shell / Python / Go 任一）。
5.具備英語讀寫能力，口語加分項。",美商昇迪凡科技術有限公司台灣分公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",11,https://www.104.com.tw/job/8ys75
81,20260309,行政專員(外商金融),"- 協助策略規劃成效彙整資料
- 維護Python產出分析性報表及簡報
- 搜尋公開資訊站數據整理與分析",緯德科技股份有限公司 (TechLink Corporation),電腦軟體服務業,40000,9999999,大學以上,"[{'code': '12001008003', 'description': 'Excel'}, {'code': '12001008011', 'description': 'Outlook'}, {'code': '12001008012', 'description': 'PowerPoint'}, {'code': '12001008016', 'description': 'Word'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001003058', 'description': 'VBA'}]",7,https://www.104.com.tw/job/7rfk2
83,20260225,商業智慧及大數據工程師,"1. 開發資料介接數據分析引擎(熟 Python 語法及資料庫SQL語法。
2. 資料視覺化設計及開發。
3. ETL 設計及開發。
4. 資料管理及分析
5. 系統測試及維護
6. 文件製作",天應資訊顧問有限公司,電腦軟體服務業,40000,9999999,大學以上,"[{'code': '12001004007', 'description': 'Cognos'}, {'code': '12003004003', 'description': 'Data Marts'}, {'code': '12003004002', 'description': 'Data Architect'}, {'code': '12001011012', 'description': 'Power BI\u200b'}, {'code': '12001011001', 'description': 'Tableau'}, {'code': '12001006017', 'description': 'JavaScript'}, {'code': '12001004035', 'description': 'Oracle'}, {'code': '12001004034', 'description': 'OLAP'}, {'code': '12001004031', 'description': 'MS SQL'}, {'code': '12001003045', 'description': 'Python'}, {'code': '12001001047', 'description': 'Windows Server 2019'}]",6,https://www.104.com.tw/job/38q85
84,20260309,Machine Learning Engineer 機器學習演算法工程師  | 歡迎研發替代役,"to improve the quality of current products.


【Qualifications】
1. Proficiency in Python.
2. Solid background in natural",奧義智慧科技股份有限公司,電腦軟體服務業,40000,55000,大學以上,"[{'code': '12001003045', 'description': 'Python'}]",17,https://www.104.com.tw/job/870o4
85,20260306,全球運籌自動化專案助理 Logistics Automation Assistant (約聘人員),"-5天)／應屆新鮮人／二度就業／社會人士
 
【加分條件】
-會使用 Excel 進階功能 / Power Query / VBA
-具 Python / Script / Automation 工具 基礎
-對 AI / 自動化工具應用 有興趣",緯穎科技服務股份有限公司,電腦及其週邊設備製造業,220,240,大學以上,"[{'code': '12001003045', 'description': 'Python'}, {'code': '12001011012', 'description': 'Power BI\u200b'}]",3,https://www.104.com.tw/job/8z1gd
